547,Archery,"Archery Men's Target Archery, 50 metres, Team"
548,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay"
549,Freestyle Skiing,Freestyle Skiing Women's Moguls
550,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres
551,Shooting,"Shooting Men's Running Target, 10 metres"
552,Polo,Polo Men's Polo
554,Rowing,"Rowing Men's Coxed Fours, Inriggers"
555,Cycling,Cycling Men's BMX
556,Art Competitions,Art Competitions Mixed Sculpturing
557,Athletics,"Athletics Men's Cross-Country, Individual"
558,Athletics,"Athletics Men's Cross-Country, Team"
559,Sailing,Sailing Mixed 40 metres
560,Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit
561,Ski Jumping,"Ski Jumping Women's Normal Hill, Individual"
562,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres"
563,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres"
564,Gymnastics,Gymnastics Men's Club Swinging
565,Tennis,Tennis Women's Singles
566,Tennis,Tennis Mixed Doubles
567,Tennis,Tennis Women's Doubles
568,Judo,Judo Women's Middleweight
569,Judo,Judo Women's Lightweight
570,Cross Country Skiing,Cross Country Skiing Men's Team Sprint
571,Snowboarding,Snowboarding Women's Halfpipe
572,Canoeing,"Canoeing Women's Kayak Singles, 200 metres"
573,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres
574,Athletics,"Athletics Men's 3,000 metres, Team"
575,Cross Country Skiing,Cross Country Skiing Women's Sprint
576,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards"
577,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team"
578,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards"
579,Shooting,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards"
580,Shooting,"Shooting Men's Military Pistol, Team"
581,Rowing,Rowing Women's Coxed Fours
582,Weightlifting,"Weightlifting Men's Unlimited, One Hand"
583,Canoeing,"Canoeing Men's Canadian Singles, 500 metres"
584,Fencing,"Fencing Men's Foil, Masters, Individual"
585,Fencing,"Fencing Men's epee, Masters, Individual"
586,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports"
